day, ignores, multi
240426, [1, 3, 6, 8, 9, 11, 13, 14, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31], [7, 17, 18, 23, 32, 35, 36]
240502, [1, 2, 3, 4, 5], []
240519, [7], []
240521, [7], []
240307, [1, 2, 3, 5, 6, 10, 13], [9]
240520, [7], []
240715, [1, 2, 3, 5, 8, 9, 10, 11, 12, 15, 19], []
240716, [1, 2, 3, 4, 5, , 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], []
240721, [8], []
240724, [8], []
240614, [3, 7, 9, 10, 11, 13, 16], [12, 14, 15]
